848,De Pelicula Clasico (MX Pay)
849,Sorpresa
850,nuvoTV
851,CCTV4--China Central TV
852,CTI Zhong Tian Channel
853,Phoenix Info News
854,Phoenix Satellite TV
860,GMA Pinoy TV
861,GMA Life TV
862,DWLS Radio From GMA Pinoy/Life
863,DZBB Radio From GMA Pinoy
864,The Filipino Channel
865,Filipino on Demand
866,Saigon Broadcasting Network
868,TV Japan
871,"Zee TV USA, Inc."
872,SET - Asia International
873,TV Asia
877,RAI Italia
879,Deutsche Welle Amerika
881,TV5MONDE Etats Unis
885,Channel One Russia Worldwide Network
886,RTV International
887,WMNB Russian TV (RTN TV)
888,Russian Kino
890,Art America
895,Lo Mejor On Demand
897,Espanol On Demand
898,Bollywood On Demand
900,Music Choice: Hit List
901,Music Choice: Hip Hop and R&B
902,Music Choice: University
903,Music Choice: Dance/Electronica
904,Music Choice: Rap
905,Music Choice: Hip Hop Classic
906,Music Choice: Throwback Jamz
907,Music Choice: R&B Classics
908,Music Choice: R&B & Soul
909,Music Choice: Gospel
910,Music Choice: Reggae
911,Music Choice: Classic Rock
912,Music Choice: Retro Rock
913,Music Choice: Rock
914,Music Choice: Metal
915,Music Choice: Alternative
916,Music Choice: Classic Alternative
917,Music Choice: Adult Alternative
918,Music Choice: Soft Rock
919,Music Choice: Pop Hits
920,Music Choice: 90s Channel
921,Music Choice: 80's
922,Music Choice: 70's
923,Music Choice: Solid Gold Oldies
924,Music Choice: Party Favorites
925,Music Choice: Stage & Screen
926,Music Choice: Kidz Only!
927,Music Choice: Toddler Tunes
928,Music Choice: Today's Country
929,Music Choice: True Country
930,Music Choice: Classic Country
931,Music Choice: Contemporary Christian
932,Music Choice: Sounds of the Season
933,Music Choice: Soundscapes
934,Music Choice: Smooth Jazz
935,Music Choice: Jazz
936,Music Choice: Blues
937,Music Choice: Singers & Swing
938,Music Choice: Easy Listening
939,Music Choice: Classical Masterpieces
940,Music Choice: Light Classical
941,Music Choice: Musica Urbana
942,Music Choice: Pop Latino
943,Music Choice: Tropicales
944,Music Choice: Mexicana
945,Music Choice: Romances
1000,Movies On Demand
1002,HD Movies On Demand
1003,HD Movies On Demand
1004,HD Movies On Demand
1005,HD Movies On Demand
1006,HD Movies On Demand
1007,HD Movies On Demand
1008,HD Movies On Demand
1009,HD Movies On Demand
1010,Movies on Demand-Hits
1011,Kids and Teens On Demand
1016,Espanol On Demand
1023,Smithsonian HD On Demand
1026,MoviePass On Demand
1029,Signature View On Demand
1030,HBO on Demand
1032,Cinemax On Demand
1034,Showtime On Demand
1036,TMC On Demand
1038,Starz On Demand
1040,Primetime On Demand
1044,Free Movies On Demand
1047,Carolina On Demand
1050,Entertainment On Demand
1052,Movie Trailers On Demand
1053,Cutting Edge On Demand
1055,Lifestyle On Demand
1057,KIDS (Kids Channel) On Demand
1058,Disney On Demand
1059,Disney Family Movies On Demand
1063,Nature & Knowledge on Demand
1064,Lo Mejor On Demand
1065,Music On Demand
1066,Music Choice On Demand
1070,Sports and Fitness On Demand
1073,Sports On Demand
1080,Carolina Home On Demand
1082,Automotive On Demand
1083,Find It On Demand
1084,Travel On Demand
1085,Health On Demand
1105,WXLVDT (WXLV-DT) (ABC)
1110,WFMYDT (WFMY-DT) (CBS)
1114,News 14 Carolina (NWS14)
1115,New York 1 News HD
1120,WXIIDT (WXII-DT) (NBC)
